
---------- Begin Simulation Statistics ----------
simSeconds                                   0.017769                       # Number of seconds simulated (Second)
system.cpu.statIssuedInstType_0::VectorConfig            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu.statIssuedInstType_0::total       76934128                       # Number of instructions issued per FU type, per thread (Count)
system.cpu.issueRate                         2.164887                       # Inst issue rate ((Count/Cycle))
system.cpu.fuBusy                              100091                       # FU busy when requested (Count)
system.cpu.fuBusyRate                        0.001301                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu.intInstQueueReads                189460460                       # Number of integer instruction queue reads (Count)
system.cpu.intInstQueueWrites               125289797                       # Number of integer instruction queue writes (Count)
system.cpu.intInstQueueWakeupAccesses        74123558                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu.fpInstQueueReads                         0                       # Number of floating instruction queue reads (Count)
system.cpu.fpInstQueueWrites                        0                       # Number of floating instruction queue writes (Count)
system.cpu.fpInstQueueWakeupAccesses                0                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu.vecInstQueueReads                        0                       # Number of vector instruction queue reads (Count)
system.cpu.vecInstQueueWrites                       0                       # Number of vector instruction queue writes (Count)
system.cpu.vecInstQueueWakeupAccesses               0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu.intAluAccesses                    77034219                       # Number of integer alu accesses (Count)
system.cpu.fpAluAccesses                            0                       # Number of floating point alu accesses (Count)
system.cpu.vecAluAccesses                           0                       # Number of vector alu accesses (Count)
system.cpu.numSquashedInsts                   1387713                       # Number of squashed instructions skipped in execute (Count)
system.cpu.numSwp                                   0                       # Number of swp insts executed (Count)
system.cpu.timesIdled                             655                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           61704                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.MemDepUnit__0.insertedLoads       12717110                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores        798453                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads       411422                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores       355328                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                18696677                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted          18584683                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect           1266910                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              8713477                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates               461120                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                 8711580                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999782                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                    2664                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  6                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             640                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                342                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              298                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          131                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts        37394201                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              71                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts           1266262                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     30070317                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.678898                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.231694                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0        10606303     35.27%     35.27% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         9862053     32.80%     68.07% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         3538469     11.77%     79.84% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         1170231      3.89%     83.73% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4         1624706      5.40%     89.13% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          537905      1.79%     90.92% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6          372073      1.24%     92.16% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          254091      0.84%     93.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         2104486      7.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     30070317                       # Number of insts commited each cycle (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                          46                       # Number of memory barriers committed (Count)
system.cpu.commit.functionCalls                  1631                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass            0      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     38371704     76.01%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult         1424      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     76.01% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     76.01% # Class of committed instruction (Count)
