experiment,type,simTicks,simInsts,ipc,cpi,runtime_dynamic_power_W,runtime_dynamic_energy_J,total_runtime_energy_J,total_windows,switch_count,gate_leakage_W,hostSeconds,meta_cmd,meta_maxinsts,meta_outdir,meta_run_tag,meta_summary_file,meta_timestamp,meta_workload_args,meta_workload_path,numCycles,result_dir,simOps,simSeconds,subthreshold_leakage_W,meta_num_cores,avg_avg_inflight_proxy,avg_avg_outstanding_misses_proxy,avg_branch_recovery_ratio,avg_commit_activity_ratio,avg_iq_saturation_ratio,avg_squash_ratio,class_Control_dominated_count,class_Control_dominated_pct,class_High_MLP_memory_dominated_count,class_High_MLP_memory_dominated_pct,class_Resource_contention___compute_dominated_count,class_Resource_contention___compute_dominated_pct,meta_window_cycles,mode_aggressive_count,mode_aggressive_pct,mode_conservative_count,mode_conservative_pct,switch_pct,class_Serialized_memory_dominated_count,class_Serialized_memory_dominated_pct,meta_conservative_dispatch_width,meta_conservative_fetch_width,meta_conservative_inflight_cap,meta_conservative_iq_cap,meta_conservative_lsq_cap,meta_conservative_rename_width,meta_extra_params,meta_outdir_base,mode_control_profile_count,mode_control_profile_pct,mode_high_mlp_profile_count,mode_high_mlp_profile_pct,mode_resource_profile_count,mode_resource_profile_pct,mode_serialized_profile_count,mode_serialized_profile_pct
formal_gapbs_pr_g20_baseline,baseline,17776956500,50000001,1.406315,0.711078,,,,,,,134.58,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt.bak_20260402_010655 --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_pr_g20_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/pr --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_pr_g20_baseline/latest,formal_gapbs_pr_g20_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_pr_g20_baseline/latest/baseline_config_summary.md,2026-04-02T16:47:06-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/pr,35553914,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_pr_g20_baseline\latest,51462840,0.017777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_sssp_g20_baseline,baseline,17967369500,50000000,1.391411,0.718695,,,,,,,124.22,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt.bak_20260402_010655 --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_sssp_g20_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/sssp --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_sssp_g20_baseline/latest,formal_gapbs_sssp_g20_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_sssp_g20_baseline/latest/baseline_config_summary.md,2026-04-02T14:59:41-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/sssp,35934740,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_sssp_g20_baseline\latest,51454076,0.017967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_gapbs_tc_g20_baseline,baseline,18575490500,50000003,1.345860,0.743020,,,,,,,162.87,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt.bak_20260402_010655 --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_tc_g20_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/tc --options=-g\ 20\ -n\ 1,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_tc_g20_baseline/latest,formal_gapbs_tc_g20_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_gapbs_tc_g20_baseline/latest/baseline_config_summary.md,2026-04-02T14:54:11-04:00,-g 20 -n 1,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/gapbs/tc,37150982,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_gapbs_tc_g20_baseline\latest,51461583,0.018575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_polybench_atax_baseline,baseline,34581474000,50000003,0.722930,1.383259,,,,,,,159.94,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_atax_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/polybench-c/build-arm/atax/atax,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_atax_baseline/latest,formal_polybench_atax_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_atax_baseline/latest/baseline_config_summary.md,2026-04-02T13:01:13-04:00,,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/polybench-c/build-arm/atax/atax,69162949,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_polybench_atax_baseline\latest,64176945,0.034581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_polybench_bicg_baseline,baseline,33760593000,50000006,0.740508,1.350424,,,,,,,162.64,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_bicg_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/polybench-c/build-arm/bicg/bicg,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_bicg_baseline/latest,formal_polybench_bicg_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_bicg_baseline/latest/baseline_config_summary.md,2026-04-02T13:06:48-04:00,,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/polybench-c/build-arm/bicg/bicg,67521187,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_polybench_bicg_baseline\latest,63017929,0.033761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formal_polybench_jacobi_2d_baseline,baseline,43233987500,50000002,0.578249,1.729359,,,,,,,192.48,/mnt/c/Users/garsy/Documents/18742project/gem5/build/ARM/gem5.opt --outdir=/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_jacobi_2d_baseline/latest /mnt/c/Users/garsy/Documents/18742project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/polybench-c/build-arm/jacobi-2d/jacobi-2d,50000000,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_jacobi_2d_baseline/latest,formal_polybench_jacobi_2d_baseline,/mnt/c/Users/garsy/Documents/18742project/gem5/runs/baseline/formal_polybench_jacobi_2d_baseline/latest/baseline_config_summary.md,2026-04-02T13:12:30-04:00,,/mnt/c/Users/garsy/Documents/18742project/gem5/workloads/external/polybench-c/build-arm/jacobi-2d/jacobi-2d,86467976,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\formal_polybench_jacobi_2d_baseline\latest,67958662,0.043234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gapbs_bfs,baseline,17768626500,50000000,1.406974,0.710745,276.244,4.90848,5.07935,,,0.330607,703.30,/home/rock/project/gem5/build/ARM/gem5.opt --outdir=/home/rock/project/gem5/runs/baseline/gapbs_bfs/latest /home/rock/project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c workloads/external/gapbs/bfs --options=-g\ 20\ -n\ 1,50000000,/home/rock/project/gem5/runs/baseline/gapbs_bfs/latest,gapbs_bfs,/home/rock/project/gem5/runs/baseline/gapbs_bfs/latest/baseline_config_summary.md,2026-03-12T17:15:05-04:00,-g 20 -n 1,workloads/external/gapbs/bfs,35537254,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\gapbs_bfs\latest,50484996,0.017769,9.28566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gapbs_bfs_smoke,baseline,409238000,1000000,1.222108,0.818259,,,,,,,14.44,/home/rock/project/gem5/build/ARM/gem5.opt --outdir=/home/rock/project/gem5/runs/baseline/gapbs_bfs_smoke/latest /home/rock/project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=1000000 -c workloads/external/gapbs/bfs --options=-g\ 8\ -n\ 1,1000000,/home/rock/project/gem5/runs/baseline/gapbs_bfs_smoke/latest,gapbs_bfs_smoke,/home/rock/project/gem5/runs/baseline/gapbs_bfs_smoke/latest/baseline_config_summary.md,2026-03-12T17:11:09-04:00,-g 8 -n 1,workloads/external/gapbs/bfs,818477,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\gapbs_bfs_smoke\latest,1021643,0.000409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hash_probe_chain,baseline,49106787500,50000005,0.509095,1.964271,83.5635,4.10354,4.57576,,,0.330607,988.40,/home/rock/project/gem5/build/ARM/gem5.opt --outdir=/home/rock/project/gem5/runs/baseline/hash_probe_chain/latest /home/rock/project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c workloads/hash_probe_chain/bin/arm/linux/hash_probe_chain --options=131072\ 64\ 1,50000000,/home/rock/project/gem5/runs/baseline/hash_probe_chain/latest,hash_probe_chain,/home/rock/project/gem5/runs/baseline/hash_probe_chain/latest/baseline_config_summary.md,2026-03-11T22:16:12-04:00,131072 64 1,workloads/hash_probe_chain/bin/arm/linux/hash_probe_chain,98213576,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\hash_probe_chain\latest,54509004,0.049107,9.28566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hello,baseline,17764000,5303,0.149258,6.699793,,,,,,,0.21,/home/rock/project/gem5/build/ARM/gem5.opt --outdir=/home/rock/project/gem5/runs/baseline/hello/latest /home/rock/project/gem5/configs/deprecated/example/se.py -n 1 --cpu-type=DerivO3CPU --caches --l2cache --mem-size=2GB --maxinsts=50000000 -c /home/rock/project/gem5/tests/test-progs/hello/bin/arm/linux/hello,50000000,/home/rock/project/gem5/runs/baseline/hello/latest,hello,/home/rock/project/gem5/runs/baseline/hello/latest/baseline_config_summary.md,2026-03-11T20:28:58-04:00,,/home/rock/project/gem5/tests/test-progs/hello/bin/arm/linux/hello,35529,C:\Users\garsy\Documents\18742project\gem5\runs\baseline\hello\latest,6123,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
