experiment,sweep_param,sweep_value,simTicks,simInsts,ipc,fetch_cycles,fetch_squashCycles,fetch_nisnDist_mean,fetch_nisnDist_0,fetch_nisnDist_8,fetch_nisnDist_samples,fetch_predictedBranches,fetch_cacheLines,fetch_icacheSquashes,decode_decodedInsts,decode_idleCycles,decode_blockedCycles,decode_runCycles,rename_renamedInsts,rename_idleCycles,rename_blockCycles,rename_runCycles,rename_IQFullEvents,rename_LQFullEvents,rename_SQFullEvents,rename_ROBFullEvents,rename_renamedOperands,numIssuedDist_mean,numIssuedDist_0,numIssuedDist_samples,lsq_forwLoads,lsq_blockedByCache,lsq_memOrderViolation,commit_numCommittedDist_mean,commit_numCommittedDist_0,commit_numCommittedDist_8,commit_branchMispredicts,rob_reads,rob_writes,iew_memOrderViolation
sweep_lsqcap0,lsqcap0,lsqcap0,8597217500,50000003,2.907918,12327832,407296,3.894457,5768959,6642541,17193674,912428,4499494,31795,63176618,3138466,4724455,6849130,62144404,4066238,1327216,8182775,2754425,266315,22116,,71298611,3.118146,2355241,17193674,2677982,1,9457,3.168844,4566873,3469386,194320,89868193,122270614,9457
sweep_lsqcap10,lsqcap10,lsqcap10,11744917500,50000003,2.128580,8887989,386360,2.236216,14601086,5402329,23489045,784788,3638760,101059,52144762,14461997,82116,8711617,51088093,14594086,82116,8619665,,,,,57703036,2.170001,5835027,23489045,745053,0,181,2.154249,6633289,1636025,193008,95254312,101954051,181
sweep_lsqcap12,lsqcap12,lsqcap12,10052905000,50000003,2.486843,9278658,386366,2.753323,10826400,5750650,20105028,784789,3713265,41,54238824,10596806,176102,9130937,52996087,10752155,176102,8983590,,,,,60833179,2.550656,3056013,20105028,1268351,0,188,2.533890,5083655,1812356,193008,89237826,103917708,188
sweep_lsqcap14,lsqcap14,lsqcap14,9936857500,50000003,2.515886,9417142,386436,2.837021,10455818,5877146,19872930,784798,3733204,2122,54884565,10257993,195335,9224371,53372812,10448617,195335,9035762,,,,,61458186,2.572130,2852087,19872930,1490888,0,212,2.566579,4893345,1911474,193008,88572617,104019481,212
sweep_lsqcap16,lsqcap16,lsqcap16,9614133000,50000003,2.600339,9420493,386426,2.935086,9807021,5884440,19227484,784811,3729252,43,54890027,9613525,193459,9227163,53345855,9806560,193459,9034254,,,,,61438286,2.688104,2154906,19227484,1312879,1,215,2.654249,4995021,2024749,193008,87494753,103987578,215
sweep_lsqcap18,lsqcap18,lsqcap18,8974737000,50000003,2.785597,9384811,386494,3.122959,8563908,5835060,17948689,784835,3742992,18919,54689820,8386909,172893,9193404,53247199,8572641,172893,9009910,,,,,61187440,2.877888,1789057,17948689,1532235,1,242,2.844195,4231054,2142624,193008,84976826,103864346,242
sweep_lsqcap20,lsqcap20,lsqcap20,8671915000,50000003,2.882870,9321372,386496,3.203486,8021703,5773415,17343045,784843,3741200,25503,54282649,7877994,132338,9139305,52926817,8057428,132338,8960033,,,,,60651886,2.972485,1639632,17343045,1594832,1,247,2.938642,3811863,2161685,193008,83762716,103605998,247
sweep_lsqcap22,lsqcap22,lsqcap22,8517383500,50000003,2.935174,9452672,386498,3.307561,7581353,5866400,17033993,784844,3779511,21169,55158532,7360517,231477,9219102,53866390,7545418,231479,9063849,,,,,61977390,3.040235,1584141,17033993,1681958,1,254,3.010862,4070235,2704605,193008,83025778,104686944,254
sweep_lsqcap24,lsqcap24,lsqcap24,8475644000,50000003,2.949628,9535272,386636,3.345996,7415153,5907929,16950392,784849,3820382,33244,55657077,7164661,290704,9243690,54450543,7343098,290706,9123272,,,,,62658586,3.064075,1598990,16950392,1705051,1,366,3.036990,4200010,2825390,193008,83120599,105651881,366
sweep_lsqcap26,lsqcap26,lsqcap26,8264884500,50000003,3.024846,9598884,386620,3.457718,6930132,5960133,16528981,784821,3832028,26748,55896854,6663001,349547,9248157,54772497,6815076,349549,9171048,,,,,63061144,3.152064,1260197,16528981,1812375,1,280,3.128226,4018938,3048275,193053,82482894,106670255,280
sweep_lsqcap28,lsqcap28,lsqcap28,8185391500,50000003,3.054222,9481885,387004,3.434576,6888172,5841249,16370012,784821,3834049,43290,55192095,6678532,273132,9166515,54122611,6833214,273127,9070162,6,,,,61964844,3.170391,1654102,16370012,2017106,1,399,3.144501,4511171,3301241,193151,81640680,105870566,399
sweep_lsqcap4,lsqcap4,lsqcap4,16895244500,50000003,1.479706,8708052,386262,1.531531,25081679,5317100,33789701,784777,3546037,9,51466886,24837631,86334,8672566,51183733,24873028,86334,8637210,,,,,57872650,1.497234,13588003,33789701,485519,0,120,1.492326,14919987,972598,193008,112294235,101876334,120
sweep_lsqcap8,lsqcap8,lsqcap8,12666439000,50000003,1.973720,8664338,386322,2.035142,16667902,5311930,25332210,746301,3545512,13,51268821,16462226,48302,8628456,50983004,16497957,48302,8592792,,,,,57751279,2.020116,6924549,25332210,387988,0,150,1.993093,7287596,1363160,193008,98904628,101537025,150
sweep_robcap0,robcap0,robcap0,8597217500,50000003,2.907918,12327832,407296,3.894457,5768959,6642541,17193674,912428,4499494,31795,63176618,3138466,4724455,6849130,62144404,4066238,1327216,8182775,2754425,266315,22116,,71298611,3.118146,2355241,17193674,2677982,1,9457,3.168844,4566873,3469386,194320,89868193,122270614,9457
